album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
Red_TaylorsVersion__FromTheVaultChapter,Theveryfirstnight Taylorsversion Fromthevault,416,0.22361111111111115,0.3491452991452992,positive,0.9826,0.113,0.059,0.828,positive
Red_TaylorsVersion__FromTheVaultChapter,Nothingnew Taylorsversion Fromthevault,428,0.134013209013209,0.4690753690753691,positive,0.9883,0.139,0.05,0.81,positive
Red_TaylorsVersion__FromTheVaultChapter,Run Taylorsversion Fromthevault,457,-0.037142857142857144,0.31142857142857144,neutral,0.9903,0.116,0.034,0.85,positive
Red_TaylorsVersion__FromTheVaultChapter,Foreverwinter Taylorsversion Fromthevault,383,0.1745475589225589,0.3748842592592592,positive,0.2677,0.071,0.066,0.863,positive
Red_TaylorsVersion__FromTheVaultChapter,Betterman Taylorsversion Fromthevault,529,0.3754742547425474,0.44972899728997295,positive,0.9996,0.303,0.044,0.654,positive
MessageInABottle_FatMaxGRemix__TaylorsVersion_,Messageinabottle Taylorsversion Fatmaxgremix,421,0.24351851851851852,0.5937037037037035,positive,0.9972,0.163,0.017,0.819,positive
MessageInABottle_FatMaxGRemix__TaylorsVersion_,Messageinabottle Taylorsversion Fromthevault,420,0.34149305555555554,0.6329861111111109,positive,0.9978,0.191,0.038,0.771,positive
Carolina_FromTheMotionPictureWhereTheCrawdadsSing_,Carolina Videoversion,188,0.08444444444444443,0.5288888888888887,neutral,-0.6884,0.035,0.068,0.897,negative
Carolina_FromTheMotionPictureWhereTheCrawdadsSing_,Carolina,248,0.07676767676767676,0.5717171717171716,neutral,-0.5792,0.038,0.052,0.91,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Theblackdog,327,-0.031571146245059294,0.45110342555994726,neutral,-0.9893,0.104,0.171,0.725,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Thetorturedpoetsdepartment,442,0.002469135802469124,0.4160493827160494,neutral,0.8789,0.084,0.068,0.848,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Solong London,408,0.09904572940287228,0.4710128495842782,neutral,-0.9581,0.105,0.15,0.745,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Icandoitwithabrokenheart,423,-0.007716049382716048,0.5685185185185186,neutral,0.5793,0.166,0.169,0.665,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Icanfixhim Noreallyican,266,0.14999999999999997,0.5455782312925169,positive,0.9948,0.2,0.037,0.763,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Guiltyassin,380,-0.08601190476190476,0.5208333333333334,neutral,-0.9907,0.072,0.149,0.779,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Thealchemy,386,0.19508547008547003,0.48199786324786326,positive,0.9971,0.214,0.086,0.701,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Myboyonlybreakshisfavoritetoys,308,0.21407995296884183,0.5675778953556733,positive,0.9784,0.165,0.098,0.737,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Freshouttheslammer,303,0.17857142857142855,0.37936507936507935,positive,0.9907,0.148,0.03,0.821,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Fortnight,386,0.29785353535353537,0.6243265993265993,positive,0.9709,0.172,0.124,0.704,positive
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Florida,504,-0.056273946360153246,0.5377394636015325,neutral,-0.9952,0.102,0.171,0.728,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Whosafraidoflittleoldme,476,-0.16614583333333333,0.5397569444444442,negative,-0.9825,0.101,0.143,0.757,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Thesmallestmanwhoeverlived,340,-0.009523809523809533,0.4686507936507936,neutral,-0.9761,0.086,0.132,0.782,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Clarabow,275,0.2326479076479077,0.6137536075036076,positive,-0.2018,0.171,0.154,0.675,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Loml,385,0.2731481481481481,0.5287037037037038,positive,-0.9764,0.095,0.134,0.771,negative
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Downbad,503,-0.2533333333333332,0.44821428571428595,negative,-0.9989,0.058,0.241,0.702,negative
